game,epsilon,loss,win_rate_vs_random,mean_ep_len,snapshot
0,1.0000,0.000000,0.4200,64.0,
19,0.9964,0.005559,0.4000,64.0,
0,1.0000,0.000000,0.4800,64.0,
9,0.9983,0.009403,0.4200,64.0,
0,1.0000,0.000000,0.6400,64.0,
9,0.9983,0.036179,0.4600,64.0,
0,1.0000,0.000000,0.4200,64.0,
9,0.9983,0.008924,0.4800,64.0,
0,1.0000,0.000000,0.5200,64.0,
9,0.9983,0.007140,0.4000,64.0,
0,1.0000,0.000000,0.6000,64.0,
9,0.9983,0.024007,0.4400,64.0,
0,1.0000,0.000000,0.4400,64.0,
9,0.9983,0.002709,0.4800,64.0,
0,1.0000,0.000000,0.4600,64.0,
9,0.9983,0.036885,0.5800,64.0,
0,1.0000,0.000000,0.5600,64.0,
9,0.9983,0.034610,0.5400,64.0,
