game,epsilon,lr,loss,win_rate_vs_random,win_rate_vs_heuristic,mean_ep_len,snapshot
0,1.0000,1.00e-03,0.000000,0.5000,0.0000,32.8,
100,0.9810,1.00e-03,0.018596,0.4900,0.0000,32.7,
200,0.9620,1.00e-03,0.013096,0.5500,0.0000,34.0,
300,0.9430,1.00e-03,0.008508,0.4700,0.0000,31.2,
400,0.9240,1.00e-03,0.008272,0.5500,0.0000,31.6,
500,0.9050,1.00e-03,0.004412,0.5700,0.0000,31.9,
600,0.8860,1.00e-03,0.007686,0.7100,0.0000,32.5,
700,0.8670,1.00e-03,0.004053,0.5000,0.0000,31.0,
800,0.8480,1.00e-03,0.003405,0.5800,0.0000,31.1,
900,0.8290,1.00e-03,0.003410,0.4900,0.0000,31.4,
1000,0.8100,1.00e-03,0.004398,0.5500,0.0000,31.1,
1100,0.7910,1.00e-03,0.002756,0.5100,0.0200,33.0,
1200,0.7720,1.00e-03,0.002970,0.5700,0.0200,32.8,
1300,0.7530,1.00e-03,0.002176,0.6000,0.0000,32.2,
1400,0.7340,1.00e-03,0.001313,0.5400,0.0000,32.8,
1500,0.7150,1.00e-03,0.000843,0.4200,0.0000,32.0,
1600,0.6960,1.00e-03,0.001583,0.6100,0.0000,32.6,
1700,0.6770,1.00e-03,0.000696,0.4900,0.0000,34.0,
1800,0.6580,1.00e-03,0.000999,0.4800,0.0000,34.1,
1900,0.6390,1.00e-03,0.000779,0.3900,0.0000,34.4,
2000,0.6200,1.00e-03,0.000766,0.4500,0.0000,32.9,
2100,0.6010,1.00e-03,0.001057,0.3400,0.0000,32.4,
2200,0.5820,1.00e-03,0.001052,0.4200,0.0000,33.3,
2300,0.5630,1.00e-03,0.001124,0.4500,0.0000,32.2,
2400,0.5440,1.00e-03,0.000818,0.4600,0.0000,33.7,
2500,0.5250,1.00e-03,0.002193,0.2900,0.0000,33.7,
2600,0.5060,1.00e-03,0.002112,0.4600,0.0000,34.3,
2700,0.4870,1.00e-03,0.002180,0.4100,0.0000,32.5,
