game,epsilon,lr,loss,win_rate_vs_random,win_rate_vs_heuristic,mean_ep_len,elapsed_sec,games_per_hour,snapshot
0,1.0000,1.00e-03,0.000000,0.4100,0.0000,32.8,127,28,
100,0.9810,1.00e-03,0.003329,0.5600,0.0000,32.5,377,964,
200,0.9620,1.00e-03,0.010671,0.5400,0.0000,32.7,647,1118,
300,0.9430,1.00e-03,0.014263,0.4700,0.0000,33.5,1264,857,
400,0.9240,1.00e-03,0.005132,0.4800,0.0000,32.4,1416,1019,
500,0.9050,1.00e-03,0.005333,0.4600,0.0000,31.8,1571,1148,
600,0.8860,1.00e-03,0.004528,0.6300,0.0000,31.6,1726,1253,
700,0.8670,1.00e-03,0.002605,0.6200,0.0000,31.9,1888,1336,
800,0.8480,1.00e-03,0.002921,0.5800,0.0000,31.5,2064,1397,
900,0.8290,1.00e-03,0.003835,0.5500,0.0400,33.4,2241,1448,
1000,0.8100,1.00e-03,0.002160,0.5600,0.0000,29.9,2414,1493,
1100,0.7910,1.00e-03,0.003192,0.5600,0.0000,32.1,2593,1529,
1200,0.7720,1.00e-03,0.002111,0.6100,0.0000,31.9,2767,1562,
1300,0.7530,1.00e-03,0.001445,0.5600,0.0200,30.7,2945,1590,
1400,0.7340,1.00e-03,0.001324,0.5300,0.0000,32.1,3120,1617,
1500,0.7150,1.00e-03,0.001568,0.5800,0.0200,30.3,3298,1639,
1600,0.6960,1.00e-03,0.000926,0.6200,0.0000,31.7,3475,1659,
1700,0.6770,1.00e-03,0.000870,0.5100,0.0000,31.9,3651,1677,
1800,0.6580,1.00e-03,0.001020,0.6100,0.0000,33.2,3859,1680,
1900,0.6390,1.00e-03,0.001191,0.5000,0.0000,32.2,4052,1689,
2000,0.6200,1.00e-03,0.001702,0.6100,0.0000,31.1,4232,1702,
2100,0.6010,1.00e-03,0.001117,0.5000,0.0000,31.9,4422,1711,
2200,0.5820,1.00e-03,0.000496,0.4200,0.0000,32.5,4627,1712,
2300,0.5630,1.00e-03,0.003163,0.4200,0.0000,33.5,4844,1710,
2400,0.5440,1.00e-03,0.000541,0.3900,0.0000,32.2,5061,1708,
2500,0.5250,1.00e-03,0.001558,0.4600,0.0000,33.9,5282,1705,
2600,0.5060,1.00e-03,0.000782,0.5300,0.0000,31.9,5497,1703,
2700,0.4870,1.00e-03,0.000854,0.3800,0.0000,32.5,5721,1700,
2800,0.4680,1.00e-03,0.000699,0.6300,0.0000,30.3,5946,1696,
2900,0.4490,1.00e-03,0.001365,0.6000,0.0000,32.3,6169,1693,
3000,0.4300,1.00e-03,0.000518,0.5000,0.0000,30.4,6394,1690,
3100,0.4110,1.00e-03,0.001297,0.3400,0.0000,34.9,6636,1682,
3200,0.3920,1.00e-03,0.000751,0.4900,0.0000,31.7,6846,1683,
3300,0.3730,1.00e-03,0.001515,0.3800,0.0000,35.4,7073,1680,
3400,0.3540,1.00e-03,0.001581,0.3600,0.0000,37.0,7307,1676,
3500,0.3350,1.00e-03,0.000794,0.2800,0.0000,36.6,7645,1649,
3600,0.3160,1.00e-03,0.001009,0.3200,0.0000,35.3,7980,1625,
3700,0.2970,1.00e-03,0.001185,0.3300,0.0000,33.4,8311,1603,
3800,0.2780,1.00e-03,0.001280,0.2800,0.0000,33.5,8584,1594,
3900,0.2590,1.00e-03,0.000325,0.4200,0.0000,32.1,8804,1595,
4000,0.2400,5.00e-04,0.000278,0.3800,0.0000,33.9,9103,1582,
