game_idx,p1_label,p2_label,winner,p1_reward_sum,p2_reward_sum,episode_length,timestamp
0,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:22:04
1,human,dqn,1,1.1000,0.0000,9,2026-05-31T01:28:21
2,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:28:24
3,human,dqn,1,1.1000,0.0000,7,2026-05-31T01:28:27
4,dqn,human,2,0.0000,1.1000,10,2026-05-31T01:28:35
5,human,dqn,1,1.1000,0.0000,7,2026-05-31T01:28:38
6,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:28:42
7,human,dqn,1,1.1000,0.0000,9,2026-05-31T01:28:46
8,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:28:49
9,human,dqn,1,1.1000,0.0000,7,2026-05-31T01:28:53
10,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:28:55
11,human,dqn,1,1.1000,0.0000,9,2026-05-31T01:28:59
12,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:29:02
13,human,dqn,1,1.1000,0.0000,7,2026-05-31T01:29:05
14,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:29:08
15,human,dqn,1,1.1000,0.0000,7,2026-05-31T01:29:11
16,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:29:14
17,human,dqn,1,1.1000,0.0000,9,2026-05-31T01:29:18
18,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:29:21
19,human,dqn,1,1.1000,0.0000,7,2026-05-31T01:29:23
20,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:29:26
21,human,dqn,1,1.1000,0.0000,7,2026-05-31T01:29:29
22,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:29:32
23,human,dqn,1,1.1000,0.0000,7,2026-05-31T01:29:34
24,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:29:36
25,human,dqn,1,1.1000,0.0000,7,2026-05-31T01:29:39
26,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:29:42
27,human,dqn,1,1.1000,0.0000,7,2026-05-31T01:29:45
28,dqn,human,2,0.0000,1.1000,10,2026-05-31T01:29:50
29,human,dqn,1,1.1000,0.0000,7,2026-05-31T01:29:54
30,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:29:58
31,human,dqn,1,1.1000,0.0000,7,2026-05-31T01:30:02
32,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:30:07
33,human,dqn,1,1.1000,0.0000,9,2026-05-31T01:38:09
34,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:38:13
35,human,dqn,1,1.1000,0.0000,7,2026-05-31T01:38:19
36,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:38:24
37,human,dqn,1,1.1000,0.0000,7,2026-05-31T01:38:28
38,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:38:32
39,human,dqn,1,1.1000,0.0000,7,2026-05-31T01:38:36
40,dqn,human,2,0.0000,1.1000,8,2026-05-31T01:38:41
41,human,dqn,1,1.1000,0.0000,7,2026-05-31T01:38:45
42,dqn,human,2,0.0000,1.1000,10,2026-05-31T01:39:15
43,human,dqn,1,1.1000,0.0000,7,2026-05-31T02:10:40
44,dqn,human,2,0.0000,1.1000,8,2026-05-31T02:50:43
