game,epsilon,lr,loss,win_rate_vs_random,win_rate_vs_heuristic,mean_ep_len,snapshot
0,1.0000,1.00e-03,0.000000,0.4600,0.4000,64.0,
100,0.9810,1.00e-03,0.034232,0.5400,0.4200,64.0,
200,0.9620,1.00e-03,0.036840,0.5000,0.5600,64.0,
300,0.9430,1.00e-03,0.012402,0.6200,0.6000,64.0,
400,0.9240,1.00e-03,0.042762,0.5800,0.4800,64.0,
500,0.9050,1.00e-03,0.008751,0.5600,0.5800,64.0,
600,0.8860,1.00e-03,0.002430,0.6200,0.6000,64.0,
700,0.8670,1.00e-03,0.029670,0.6200,0.4200,64.0,
800,0.8480,1.00e-03,0.010763,0.6900,0.6800,64.0,
900,0.8290,1.00e-03,0.007779,0.5600,0.6800,64.0,
1000,0.8100,1.00e-03,0.014205,0.6600,0.6200,64.0,
1100,0.7910,1.00e-03,0.005014,0.7900,0.6200,64.0,
1200,0.7720,1.00e-03,0.024414,0.6400,0.6200,64.0,
1300,0.7530,1.00e-03,0.023283,0.7400,0.8000,64.0,
1400,0.7340,1.00e-03,0.021412,0.6700,0.6400,64.0,
1500,0.7150,1.00e-03,0.023462,0.5800,0.5400,64.0,
1600,0.6960,1.00e-03,0.011022,0.6000,0.6600,64.0,
1700,0.6770,1.00e-03,0.030031,0.6800,0.7400,64.0,
1800,0.6580,1.00e-03,0.014050,0.7800,0.8000,64.0,
1900,0.6390,1.00e-03,0.015255,0.5400,0.7000,64.0,
2000,0.6200,1.00e-03,0.002874,0.5200,0.7000,64.0,
2100,0.6010,1.00e-03,0.021010,0.7700,0.8200,64.0,
2200,0.5820,1.00e-03,0.002055,0.7600,0.8200,64.0,
2300,0.5630,1.00e-03,0.010111,0.8300,0.8600,64.0,
2400,0.5440,1.00e-03,0.015986,0.6900,0.7600,64.0,
2500,0.5250,1.00e-03,0.019124,0.6800,0.7600,64.0,
2600,0.5060,1.00e-03,0.038464,0.6400,0.6600,64.0,
2700,0.4870,1.00e-03,0.003277,0.5800,0.6800,64.0,
2800,0.4680,1.00e-03,0.027779,0.7300,0.9000,64.0,
2900,0.4490,1.00e-03,0.020227,0.7600,0.8000,64.0,
3000,0.4300,1.00e-03,0.013019,0.7900,0.8000,64.0,
3100,0.4110,1.00e-03,0.016318,0.8700,0.9800,64.0,
3200,0.3920,1.00e-03,0.018841,0.7100,0.6000,64.0,
3300,0.3730,1.00e-03,0.028561,0.8800,0.8400,64.0,
3400,0.3540,1.00e-03,0.003356,0.7600,0.9200,64.0,
3500,0.3350,1.00e-03,0.006914,0.7600,0.8200,64.0,
3600,0.3160,1.00e-03,0.009219,0.6100,0.8800,64.0,
3700,0.2970,1.00e-03,0.021957,0.6800,0.4200,64.0,
3800,0.2780,1.00e-03,0.003008,0.5400,0.7200,64.0,
3900,0.2590,1.00e-03,0.013611,0.6600,0.7000,64.0,
4000,0.2400,5.00e-04,0.004387,0.8800,0.9000,64.0,
4100,0.2210,5.00e-04,0.001335,0.7800,0.8600,64.0,
4200,0.2020,5.00e-04,0.009426,0.9200,0.9600,64.0,
4300,0.1830,5.00e-04,0.007548,0.8300,0.9200,64.0,
4400,0.1640,5.00e-04,0.020159,0.9500,0.9000,64.0,
4500,0.1450,5.00e-04,0.017440,0.6800,0.7800,64.0,
4600,0.1260,5.00e-04,0.018260,0.7700,0.9400,64.0,
4700,0.1070,5.00e-04,0.026570,0.9200,0.7400,64.0,
4800,0.0880,5.00e-04,0.035191,0.7400,0.9800,64.0,
4900,0.0690,5.00e-04,0.005925,0.9100,0.9800,64.0,
5000,0.0500,5.00e-04,0.018301,0.7800,0.9000,64.0,
5100,0.0500,5.00e-04,0.020077,0.7800,0.9600,64.0,
5200,0.0500,5.00e-04,0.017173,0.9800,0.9400,64.0,
5300,0.0500,5.00e-04,0.034252,0.5300,0.9000,64.0,
5400,0.0500,5.00e-04,0.017758,0.5700,0.7200,64.0,
5500,0.0500,5.00e-04,0.007511,0.9400,1.0000,64.0,
5600,0.0500,5.00e-04,0.003642,0.7100,0.9800,64.0,
5700,0.0500,5.00e-04,0.033300,0.6800,0.6200,64.0,
5800,0.0500,5.00e-04,0.008659,0.2700,0.5800,64.0,
5900,0.0500,5.00e-04,0.015869,0.4300,0.7600,64.0,
6000,0.0500,5.00e-04,0.005499,0.4400,0.9200,64.0,
6100,0.0500,5.00e-04,0.011533,0.8000,0.9600,64.0,
6200,0.0500,5.00e-04,0.027705,0.2000,0.9000,64.0,
6300,0.0500,5.00e-04,0.022508,0.7900,1.0000,64.0,
6400,0.0500,5.00e-04,0.016868,0.1100,0.8000,64.0,
6500,0.0500,5.00e-04,0.018708,1.0000,0.9600,64.0,
6600,0.0500,5.00e-04,0.022800,0.8100,0.9800,64.0,
6700,0.0500,5.00e-04,0.014287,0.6900,0.9200,64.0,
6800,0.0500,5.00e-04,0.018118,0.5700,0.9600,64.0,
6900,0.0500,5.00e-04,0.035119,0.3400,0.9800,64.0,
7000,0.0500,5.00e-04,0.010174,0.5700,1.0000,64.0,
7100,0.0500,5.00e-04,0.015637,0.9800,0.9600,64.0,
7200,0.0500,5.00e-04,0.014530,0.6500,0.7200,64.0,
7300,0.0500,5.00e-04,0.010877,0.6800,0.9600,64.0,
7400,0.0500,5.00e-04,0.004219,0.4600,0.7000,64.0,
7500,0.0500,2.50e-04,0.016459,0.1700,0.5400,64.0,
7600,0.0500,2.50e-04,0.014242,0.3000,0.9400,64.0,
7700,0.0500,2.50e-04,0.021112,0.9800,0.9800,64.0,
7800,0.0500,2.50e-04,0.008709,0.9600,1.0000,64.0,
7900,0.0500,2.50e-04,0.010953,0.2000,0.8000,64.0,
8000,0.0500,2.50e-04,0.014136,0.2400,0.6600,64.0,
8100,0.0500,2.50e-04,0.006352,0.7700,1.0000,64.0,
8200,0.0500,2.50e-04,0.024956,0.7900,0.8800,64.0,
8300,0.0500,2.50e-04,0.006631,0.8100,0.7000,64.0,
8400,0.0500,2.50e-04,0.009158,0.9400,0.9800,64.0,
8500,0.0500,2.50e-04,0.008472,0.6800,0.9200,64.0,
8600,0.0500,2.50e-04,0.018209,0.3800,0.1400,64.0,
8700,0.0500,2.50e-04,0.004358,0.6600,0.9200,64.0,
8800,0.0500,2.50e-04,0.016584,0.5500,0.4000,64.0,
8900,0.0500,2.50e-04,0.035849,0.7800,0.9800,64.0,
