game,epsilon,lr,loss,win_rate_vs_random,win_rate_vs_heuristic,elo_rating,mean_ep_len,elapsed_sec,games_per_hour,snapshot
14000,0.0500,2.00e-04,0.000000,0.9800,0.9800,814.0,64.0,615,6,
14100,0.0500,2.00e-04,0.036524,0.8450,0.3700,816.3,64.0,1380,264,
14200,0.0500,2.00e-04,0.017114,1.0000,1.0000,829.7,64.0,2244,322,
14300,0.0500,2.00e-04,0.022125,0.9850,1.0000,841.8,64.0,3061,354,
14400,0.0500,2.00e-04,0.020997,0.7650,0.4200,843.9,64.0,3946,366,
14500,0.0500,2.00e-04,0.017255,0.8300,0.6100,844.4,64.0,4809,375,
14600,0.0500,2.00e-04,0.032175,0.7950,0.7800,848.8,64.0,5669,382,
14700,0.0500,2.00e-04,0.037220,0.8850,0.7800,856.2,64.0,6737,375,
14800,0.0500,2.00e-04,0.036664,0.9950,0.9700,867.3,64.0,7904,365,
14900,0.0500,2.00e-04,0.016106,1.0000,1.0000,878.8,64.0,9048,359,
15000,0.0500,2.00e-04,0.026483,1.0000,1.0000,889.9,64.0,10141,355,
15100,0.0500,2.00e-04,0.022454,1.0000,1.0000,900.6,64.0,11275,352,
15200,0.0500,1.00e-04,0.027563,0.9900,0.9900,910.9,64.0,12304,351,
15300,0.0500,1.00e-04,0.025502,1.0000,0.9900,920.9,64.0,13191,355,
15400,0.0500,1.00e-04,0.029726,0.9950,0.9900,930.5,64.0,14027,360,
15500,0.0500,1.00e-04,0.016148,0.9900,0.9400,939.8,64.0,14920,362,
15600,0.0500,1.00e-04,0.028321,0.9700,1.0000,948.0,64.0,15810,365,
15700,0.0500,1.00e-04,0.028424,0.8850,0.9000,953.6,64.0,16712,366,
15800,0.0500,1.00e-04,0.038678,0.7800,0.8600,957.5,64.0,17613,368,
15900,0.0500,1.00e-04,0.020225,0.8900,0.8100,960.4,64.0,18513,370,
16000,0.0500,1.00e-04,0.023894,0.4500,0.0400,950.5,64.0,19422,371,
16100,0.0500,1.00e-04,0.017946,0.7400,0.6700,953.6,64.0,20326,372,
16200,0.0500,5.00e-05,0.019720,0.9050,0.8500,956.6,64.0,21230,373,
16300,0.0500,5.00e-05,0.027022,0.9400,1.0000,964.3,64.0,22128,374,
16400,0.0500,5.00e-05,0.031510,0.9700,0.9800,971.7,64.0,23018,376,
16500,0.0500,5.00e-05,0.029848,0.9700,0.9800,979.7,64.0,23892,377,
16600,0.0500,5.00e-05,0.040281,0.9750,1.0000,987.5,64.0,24819,377,
16700,0.0500,5.00e-05,0.023086,0.9850,0.9800,995.0,64.0,25688,379,
16800,0.0500,5.00e-05,0.028034,1.0000,0.9700,1001.5,64.0,26809,376,
16900,0.0500,5.00e-05,0.020239,0.9900,1.0000,1008.6,64.0,27596,378,
17000,0.0500,5.00e-05,0.016492,0.9950,0.9700,1015.5,64.0,28569,378,
17000,0.0500,2.00e-04,0.000000,0.9900,0.9800,813.2,64.0,839,4,
17100,0.0500,2.00e-04,0.036461,1.0000,1.0000,826.7,64.0,1761,206,
17200,0.0500,2.00e-04,0.021951,0.9950,1.0000,839.7,64.0,2640,274,
17300,0.0500,2.00e-04,0.022966,0.4450,0.1300,828.5,64.0,3750,289,
17400,0.0500,2.00e-04,0.029350,0.8500,0.8600,836.7,64.0,4758,303,
17500,0.0500,2.00e-04,0.041250,0.9900,1.0000,848.5,64.0,5791,311,
17600,0.0500,2.00e-04,0.029043,0.8800,0.9500,857.6,64.0,7068,306,
17700,0.0500,2.00e-04,0.025517,0.8050,0.9000,862.3,64.0,8341,303,
17800,0.0500,2.00e-04,0.029020,0.9150,0.8500,870.0,64.0,9542,302,
17900,0.0500,2.00e-04,0.024471,0.8100,0.7700,875.9,64.0,10855,299,
18000,0.0500,2.00e-04,0.011749,0.9250,0.9400,884.8,64.0,12171,296,
18100,0.0500,1.00e-04,0.019752,0.9450,0.8200,893.3,64.0,13107,302,
18200,0.0500,1.00e-04,0.023485,0.9250,0.9500,899.2,64.0,14028,308,
18300,0.0500,1.00e-04,0.035134,0.8300,0.7900,906.4,64.0,15061,311,
18400,0.0500,1.00e-04,0.026403,0.8350,0.8800,913.4,64.0,16051,314,
18500,0.0500,1.00e-04,0.021440,0.8650,0.7900,916.9,64.0,17024,317,
18600,0.0500,1.00e-04,0.022446,0.8250,0.7500,923.5,64.0,17981,321,
18700,0.0500,1.00e-04,0.025460,0.5000,0.2300,915.6,64.0,18964,323,
18800,0.0500,1.00e-04,0.033116,0.7600,0.8400,922.2,64.0,20043,323,
18900,0.0500,1.00e-04,0.026210,0.8400,0.9900,927.9,64.0,21020,326,
19000,0.0500,1.00e-04,0.031589,0.7100,0.6900,923.9,64.0,22301,323,
19100,0.0500,5.00e-05,0.007035,0.7900,0.8800,927.9,64.0,24092,314,
19200,0.0500,5.00e-05,0.039095,0.9750,0.9700,937.3,64.0,24876,319,
19300,0.0500,5.00e-05,0.024832,0.9650,0.9500,944.8,64.0,25780,321,
19400,0.0500,5.00e-05,0.032673,0.9900,1.0000,952.9,64.0,26682,324,
19500,0.0500,5.00e-05,0.029086,0.9950,0.9900,961.5,64.0,27590,326,
19600,0.0500,5.00e-05,0.014978,0.9800,0.9800,969.0,64.0,28488,329,
19700,0.0500,5.00e-05,0.035301,0.9350,0.9900,976.3,64.0,29382,331,
19800,0.0500,5.00e-05,0.028966,0.9650,0.9900,981.8,64.0,30285,333,
19900,0.0500,5.00e-05,0.032400,0.9400,0.9400,989.5,64.0,31214,335,
20000,0.0500,5.00e-05,0.034678,0.9800,0.9300,994.6,64.0,32522,332,
20100,0.0500,2.50e-05,0.023945,0.9350,0.9900,998.0,64.0,34672,322,
20200,0.0500,2.50e-05,0.025106,0.9450,0.9600,1005.2,64.0,36761,313,
20300,0.0500,2.50e-05,0.027196,0.9800,0.9900,1011.5,64.0,38930,305,
20400,0.0500,2.50e-05,0.018137,0.9900,0.9700,1017.6,64.0,41233,297,
20500,0.0500,2.50e-05,0.029471,0.9900,0.9700,1024.3,64.0,42335,298,
20600,0.0500,2.50e-05,0.022302,1.0000,0.9800,1030.0,64.0,43254,300,
20700,0.0500,2.50e-05,0.015624,0.9950,0.9900,1036.4,64.0,44175,302,
20800,0.0500,2.50e-05,0.034256,1.0000,1.0000,1042.6,64.0,45120,303,
20900,0.0500,2.50e-05,0.019469,1.0000,0.9900,1047.8,64.0,46062,305,
21000,0.0500,2.50e-05,0.016897,0.9750,0.9300,1052.9,64.0,46979,307,
21100,0.0500,2.50e-05,0.026232,0.9550,0.9600,1054.7,64.0,47899,308,
21200,0.0500,2.50e-05,0.024994,0.9200,0.8900,1058.0,64.0,48867,309,
21300,0.0500,2.50e-05,0.033622,0.8100,0.6700,1058.1,64.0,49791,311,
21400,0.0500,2.50e-05,0.026830,0.7400,0.5400,1047.9,64.0,50698,313,
21500,0.0500,2.50e-05,0.027311,0.6050,0.5700,1041.1,64.0,51615,314,
21600,0.0500,2.50e-05,0.031325,0.5600,0.7600,1037.7,64.0,52524,315,
21700,0.0500,2.50e-05,0.017359,0.5450,0.5400,1032.0,64.0,53452,317,
21800,0.0500,2.50e-05,0.039235,0.6250,0.6000,1028.0,64.0,54403,318,
21900,0.0500,2.50e-05,0.020629,0.6600,0.5000,1024.1,64.0,55367,319,
22000,0.0500,2.50e-05,0.037260,0.7650,0.7300,1020.3,64.0,56343,320,
22100,0.0500,2.50e-05,0.028946,0.8950,0.8300,1023.0,64.0,57320,320,
22200,0.0500,2.50e-05,0.026706,0.7850,0.8100,1024.8,64.0,58304,321,
22300,0.0500,2.50e-05,0.013701,0.6800,0.7500,1021.8,64.0,59296,322,
22400,0.0500,2.50e-05,0.013472,0.8950,0.9200,1025.2,64.0,60390,322,
22500,0.0500,2.50e-05,0.017395,0.9200,0.8900,1030.9,64.0,62397,317,
22600,0.0500,2.50e-05,0.026905,0.9700,0.9700,1034.8,64.0,64576,312,
22700,0.0500,2.50e-05,0.028917,0.9850,0.9700,1037.8,64.0,66644,308,
22800,0.0500,2.50e-05,0.035753,0.9800,0.9700,1042.4,64.0,67979,307,
22900,0.0500,2.50e-05,0.052708,0.9950,1.0000,1047.6,64.0,68953,308,
23000,0.0500,2.50e-05,0.017726,1.0000,1.0000,1053.5,64.0,103448,209,
23100,0.0500,2.50e-05,0.013204,1.0000,0.9900,1059.3,64.0,105038,209,
23200,0.0500,2.50e-05,0.021137,1.0000,0.9900,1064.1,64.0,106618,209,
23300,0.0500,2.50e-05,0.017333,0.9850,1.0000,1068.8,64.0,107498,211,
23400,0.0500,2.50e-05,0.020327,1.0000,1.0000,1074.2,64.0,108409,213,
23500,0.0500,2.50e-05,0.024401,0.9800,0.9800,1078.7,64.0,110697,211,
23600,0.0500,2.50e-05,0.028803,0.9750,1.0000,1083.9,64.0,112401,211,
23700,0.0500,2.50e-05,0.009234,0.9350,0.9900,1087.3,64.0,113400,213,
23800,0.0500,2.50e-05,0.019991,0.9350,0.8600,1085.9,64.0,114385,214,
23900,0.0500,2.50e-05,0.025165,0.9300,0.9900,1090.1,64.0,115348,215,
23999,0.0500,2.50e-05,0.020463,0.9900,1.0000,1094.2,64.0,115733,218,
