game,epsilon,lr,loss,win_rate_vs_random,win_rate_vs_heuristic,mean_ep_len,snapshot
0,1.0000,1.00e-03,0.000000,0.5200,0.5000,81.0,
100,0.9810,1.00e-03,0.008068,0.4900,0.5400,81.0,
200,0.9620,1.00e-03,0.000641,0.4500,0.4600,81.0,
300,0.9430,1.00e-03,0.001543,0.5500,0.5200,81.0,
400,0.9240,1.00e-03,0.001422,0.6300,0.5800,81.0,
500,0.9050,1.00e-03,0.001718,0.5600,0.5200,81.0,
600,0.8860,1.00e-03,0.003306,0.4700,0.5600,81.0,
700,0.8670,1.00e-03,0.005642,0.6400,0.7000,81.0,
800,0.8480,1.00e-03,0.001789,0.5700,0.5000,81.0,
900,0.8290,1.00e-03,0.002310,0.6100,0.4600,81.0,
1000,0.8100,1.00e-03,0.001425,0.5100,0.5800,81.0,
1100,0.7910,1.00e-03,0.001414,0.5900,0.7400,81.0,
1200,0.7720,1.00e-03,0.023416,0.6100,0.7400,81.0,
1300,0.7530,1.00e-03,0.002685,0.5700,0.6400,81.0,
1400,0.7340,1.00e-03,0.002429,0.7700,0.8000,81.0,
1500,0.7150,1.00e-03,0.001329,0.5300,0.5600,81.0,
1600,0.6960,1.00e-03,0.001884,0.4600,0.7000,81.0,
1700,0.6770,1.00e-03,0.003648,0.5200,0.7400,81.0,
1800,0.6580,1.00e-03,0.002373,0.6000,0.7800,81.0,
1900,0.6390,1.00e-03,0.003145,0.6000,0.7200,81.0,
2000,0.6200,1.00e-03,0.003164,0.5700,0.6800,81.0,
2100,0.6010,1.00e-03,0.002587,0.7200,0.6800,81.0,
2200,0.5820,1.00e-03,0.002838,0.7400,0.5800,81.0,
2300,0.5630,1.00e-03,0.006018,0.6100,0.8400,81.0,
2400,0.5440,1.00e-03,0.003091,0.5400,0.6600,81.0,
2500,0.5250,1.00e-03,0.003652,0.7000,0.8600,81.0,
2600,0.5060,1.00e-03,0.004309,0.6100,0.7400,81.0,
2700,0.4870,1.00e-03,0.003514,0.5900,0.8000,81.0,
2800,0.4680,1.00e-03,0.005396,0.7000,0.8800,81.0,
2900,0.4490,1.00e-03,0.004519,0.7200,0.8800,81.0,
3000,0.4300,1.00e-03,0.002041,0.6900,0.7000,81.0,
3100,0.4110,1.00e-03,0.003247,0.7100,0.8800,81.0,
3200,0.3920,1.00e-03,0.004526,0.6000,0.8400,81.0,
3300,0.3730,1.00e-03,0.010370,0.5800,0.5800,81.0,
3400,0.3540,1.00e-03,0.003249,0.6900,0.8600,81.0,
3500,0.3350,1.00e-03,0.004107,0.8200,0.8400,81.0,
3600,0.3160,1.00e-03,0.003538,0.8300,0.9600,81.0,
3700,0.2970,1.00e-03,0.003694,0.7700,0.9000,81.0,
3800,0.2780,1.00e-03,0.003742,0.7000,0.7800,81.0,
3900,0.2590,1.00e-03,0.003230,0.6200,0.8000,81.0,
4000,0.2400,5.00e-04,0.009475,0.8100,0.7400,81.0,
4100,0.2210,5.00e-04,0.003623,0.8000,0.9200,81.0,
4200,0.2020,5.00e-04,0.001498,0.6900,0.9000,81.0,
4300,0.1830,5.00e-04,0.002758,0.6900,0.9000,81.0,
4400,0.1640,5.00e-04,0.002171,0.6500,0.9000,81.0,
4500,0.1450,5.00e-04,0.002731,0.8400,0.9600,81.0,
4600,0.1260,5.00e-04,0.001500,0.6500,0.8600,81.0,
4700,0.1070,5.00e-04,0.002615,0.8800,0.9600,81.0,
4800,0.0880,5.00e-04,0.011461,0.7800,0.9200,81.0,
4900,0.0690,5.00e-04,0.003044,0.9500,1.0000,81.0,
5000,0.0500,5.00e-04,0.002382,0.8900,0.9600,81.0,
5100,0.0500,5.00e-04,0.001872,0.7400,0.9400,81.0,
5200,0.0500,5.00e-04,0.001815,0.7400,0.9000,81.0,
5300,0.0500,5.00e-04,0.005923,0.8100,0.9800,81.0,
5400,0.0500,5.00e-04,0.003380,0.6100,1.0000,81.0,
5500,0.0500,5.00e-04,0.002665,0.7000,0.9600,81.0,
5600,0.0500,5.00e-04,0.002780,0.7700,0.9800,81.0,
5700,0.0500,5.00e-04,0.002515,0.5600,0.9600,81.0,
5800,0.0500,5.00e-04,0.002043,0.5000,0.9800,81.0,
5900,0.0500,5.00e-04,0.002882,0.5900,0.9800,81.0,
6000,0.0500,5.00e-04,0.003410,0.4800,0.9400,81.0,
6100,0.0500,5.00e-04,0.002354,0.5500,0.9800,81.0,
6200,0.0500,5.00e-04,0.002310,0.2700,0.9200,81.0,
6300,0.0500,5.00e-04,0.002966,0.5900,0.9400,81.0,
6400,0.0500,5.00e-04,0.002466,0.6600,1.0000,81.0,
6500,0.0500,5.00e-04,0.002073,0.6700,0.9800,81.0,
6600,0.0500,5.00e-04,0.005911,0.6400,0.9800,81.0,
6700,0.0500,5.00e-04,0.002287,0.7000,0.9600,81.0,
6800,0.0500,5.00e-04,0.004851,0.7300,0.9800,81.0,
6900,0.0500,5.00e-04,0.014178,0.5500,0.9000,81.0,
7000,0.0500,5.00e-04,0.001773,0.3500,0.9000,81.0,
7100,0.0500,5.00e-04,0.003852,0.5200,0.9400,81.0,
7200,0.0500,5.00e-04,0.002533,0.7300,0.9400,81.0,
7300,0.0500,5.00e-04,0.001779,0.4800,0.8800,81.0,
7400,0.0500,5.00e-04,0.002588,0.7000,0.9600,81.0,
7500,0.0500,2.50e-04,0.001656,0.7400,0.9400,81.0,
7600,0.0500,2.50e-04,0.008760,0.7500,0.9400,81.0,
7700,0.0500,2.50e-04,0.001734,0.6600,0.9600,81.0,
7800,0.0500,2.50e-04,0.002340,0.6800,0.9400,81.0,
7900,0.0500,2.50e-04,0.002390,0.6600,0.9600,81.0,
8000,0.0500,2.50e-04,0.002540,0.6700,0.9600,81.0,
8100,0.0500,2.50e-04,0.002623,0.9100,1.0000,81.0,
8200,0.0500,2.50e-04,0.003571,0.8300,1.0000,81.0,
8300,0.0500,2.50e-04,0.001968,0.6100,0.7800,81.0,
8400,0.0500,2.50e-04,0.001592,0.5900,0.9800,81.0,
8500,0.0500,2.50e-04,0.002739,0.5700,0.7800,81.0,
8600,0.0500,2.50e-04,0.001861,0.8400,0.9800,81.0,
8700,0.0500,2.50e-04,0.001954,0.6100,0.9000,81.0,
8800,0.0500,2.50e-04,0.004251,0.7000,0.9800,81.0,
8900,0.0500,2.50e-04,0.004821,0.5200,0.5400,81.0,
9000,0.0500,2.50e-04,0.002444,0.8000,0.9200,81.0,
9100,0.0500,2.50e-04,0.003495,0.3700,0.5600,81.0,
9200,0.0500,2.50e-04,0.010470,0.8800,0.9800,81.0,
9300,0.0500,2.50e-04,0.003321,0.6800,0.9400,81.0,
9400,0.0500,2.50e-04,0.003485,0.6700,0.9600,81.0,
9500,0.0500,2.50e-04,0.002451,0.8300,0.9000,81.0,
9600,0.0500,2.50e-04,0.003488,0.5100,0.7600,81.0,
9700,0.0500,2.50e-04,0.004223,0.7400,0.9000,81.0,
9800,0.0500,2.50e-04,0.005404,0.7400,1.0000,81.0,
9900,0.0500,2.50e-04,0.003754,0.7400,0.9400,81.0,
9999,0.0500,2.50e-04,0.003345,0.5300,0.6200,81.0,
